id,name,country_code,district,population,population_perc
773,Las Pinas,PHL,National Capital Reg,472780,0.6223491779325233
774,Antipolo,PHL,Southern Tagalog,470866,0.6198296628799348
775,Taguig,PHL,National Capital Reg,467375,0.6152342464491161
776,Cagayan de Oro,PHL,Northern Mindanao,461877,0.6079968933879185
777,Paranaque,PHL,National Capital Reg,449811,0.5921136809404083
778,Makati,PHL,National Capital Reg,444867,0.5856055919017468
779,Bacolod,PHL,Western Visayas,429076,0.564818934537365
780,General Santos,PHL,Southern Mindanao,411822,0.542106440954625
781,Marikina,PHL,National Capital Reg,391170,0.514920952518857
782,Dasmarinas,PHL,Southern Tagalog,379520,0.4995853462687746
783,Muntinlupa,PHL,National Capital Reg,379310,0.4993089104479576
784,Iloilo,PHL,Western Visayas,365820,0.4815511998630984
785,Pasay,PHL,National Capital Reg,354908,0.46718706806903
786,Malabon,PHL,National Capital Reg,338855,0.4460555241091526
787,San Jose del Monte,PHL,Central Luzon,315807,0.4157160345939684
788,Bacoor,PHL,Southern Tagalog,305699,0.4024102570853133
789,Iligan,PHL,Central Mindanao,285061,0.3752431977042663
790,Calamba,PHL,Southern Tagalog,281146,0.3700896441876077
791,Mandaluyong,PHL,National Capital Reg,278474,0.3665723274579752
792,Butuan,PHL,Caraga,267279,0.3518356654863296
793,Angeles,PHL,Central Luzon,263971,0.3474811431279371
794,Tarlac,PHL,Central Luzon,262481,0.3455197651611884
795,Mandaue,PHL,Central Visayas,259728,0.3418958231863835
796,Baguio,PHL,CAR,252386,0.3322311003462029
797,Batangas,PHL,Southern Tagalog,247588,0.3259152000210618
798,Cainta,PHL,Southern Tagalog,242511,0.3192320349625495
799,San Pedro,PHL,Southern Tagalog,231403,0.3046098964023853
800,Navotas,PHL,National Capital Reg,230403,0.303293535350876
801,Cabanatuan,PHL,Central Luzon,222859,0.2933629075782906
802,San Fernando,PHL,Central Luzon,221857,0.2920439138046783
803,Lipa,PHL,Southern Tagalog,218447,0.2875551226190319
