country_code,language,official,percentage,speakers
NZL,English,T,87.0,335994000.0
NZL,Maori,F,4.3,16606600.0
OMN,Arabic,T,76.7,194971400.0
OMN,Balochi,F,0.0,0.0
PAK,Balochi,F,3.0,469449000.0
PAK,Brahui,F,1.2,187779600.0
PAK,Hindko,F,2.4,375559200.0
PAK,Pashto,F,13.1,2049927300.0
PAK,Punjabi,F,48.2,7542480600.0
PAK,Saraiki,F,9.8,1533533400.0
PAK,Sindhi,F,11.8,1846499400.0
PAK,Urdu,T,7.6,1189270800.0
PAN,Arabic,F,0.6,1713600.0
PAN,Creole English,F,14.0,39984000.0
PAN,Cuna,F,2.0,5712000.0
PAN,Embera,F,0.6,1713600.0
PAN,GuaymI,F,5.3,15136800.0
PAN,Spanish,T,76.8,219340800.0
PCN,Pitcairnese,F,0.0,0.0
PER,Aimara,T,2.3,59022599.99999999
PER,KetSua,T,16.4,420856800.0
PER,Spanish,T,79.8,2047827600.0
PHL,Bicol,F,5.7,433011900.0
PHL,Cebuano,F,23.3,1770031100.0
PHL,Hiligaynon,F,9.1,691299700.0
PHL,Ilocano,F,9.3,706493100.0
PHL,Maguindanao,F,1.4,106353800.0
PHL,Maranao,F,1.3,98757100.0
PHL,Pampango,F,3.0,227901000.0
PHL,Pangasinan,F,1.8,136740600.0
PHL,Pilipino,T,29.3,2225833100.0
PHL,Waray-waray,F,3.8,288674600.0
PLW,Chinese,F,1.6,30400.0
PLW,English,T,3.2,60800.0
PLW,Palau,T,82.2,1561800.0
PLW,Philippene Languages,F,9.2,174800.0
PNG,Malenasian Languages,F,20.0,96140000.0
PNG,Papuan Languages,F,78.1,375426700.0
POL,Belorussian,F,0.5,19326800.0
POL,German,F,1.3,50249680.0
POL,Polish,T,97.6,3772591360.0
POL,Ukrainian,F,0.6,23192160.0
PRI,English,F,47.4,183390600.0
PRI,Spanish,T,51.3,198479700.0
PRK,Chinese,F,0.1,2403900.0
PRK,Korean,T,99.9,2401496100.0
PRT,Portuguese,T,99.0,989762400.0
PRY,German,F,0.9,4946400.0
PRY,GuaranI,T,40.1,220389600.0
PRY,Portuguese,F,3.2,17587200.0
PRY,Spanish,T,55.1,302829600.0
PSE,Arabic,F,95.9,297385900.0
PSE,Hebrew,F,4.1,12714099.999999998
PYF,Chinese,F,2.9,681500.0
PYF,French,T,40.8,9588000.0
PYF,Tahitian,F,46.4,10904000.0
QAT,Arabic,T,40.7,24379300.0
QAT,Urdu,F,0.0,0.0
REU,Chinese,F,2.8,
REU,Comorian,F,2.8,
REU,Creole French,F,91.5,
REU,Malagasy,F,1.4,
REU,Tamil,F,0.0,
ROM,German,F,0.4,8982200.0
ROM,Hungarian,F,7.2,161679600.0
ROM,Romani,T,0.7,15718849.999999998
ROM,Romanian,T,90.7,2036713850.0
ROM,Serbo-Croatian,F,0.1,2245550.0
ROM,Ukrainian,F,0.3,6736650.0
RUS,Avarian,F,0.4,
RUS,Bashkir,F,0.7,
RUS,Belorussian,F,0.3,
RUS,Chechen,F,0.6,
RUS,Chuvash,F,0.9,
RUS,Kazakh,F,0.4,
RUS,Mari,F,0.4,
RUS,Mordva,F,0.5,
RUS,Russian,T,86.6,
RUS,Tatar,F,3.2,
RUS,Udmur,F,0.3,
RUS,Ukrainian,F,1.3,
RWA,French,T,0.0,0.0
RWA,Rwanda,T,100.0,773300000.0
SAU,Arabic,T,95.0,
SDN,Arabic,T,49.4,1456806000.0
SDN,Bari,F,2.5,73725000.0
SDN,Beja,F,6.4,188736000.0
SDN,Chilluk,F,1.7,50133000.0
SDN,Dinka,F,11.5,339135000.0
SDN,Fur,F,2.1,61929000.0
SDN,Lotuko,F,1.5,44235000.0
SDN,Nubian Languages,F,8.1,238869000.0
SDN,Nuer,F,4.9,144501000.0
SDN,Zande,F,2.7,79623000.0
SEN,Diola,F,5.0,47405000.0
SEN,Ful,F,21.7,205737700.0
SEN,Malinke,F,3.8,36027800.0
SEN,Serer,F,12.5,118512500.0
SEN,Soninke,F,1.3,12325300.0
SEN,Wolof,T,48.1,456036100.0
SGP,Chinese,T,77.1,275015700.0
SGP,Malay,T,14.1,50294700.0
SGP,Tamil,T,7.4,26395800.0
SHN,English,T,0.0,0.0
SJM,Norwegian,T,0.0,0.0
SJM,Russian,F,0.0,0.0
SLB,Malenasian Languages,F,85.6,38006400.0
SLB,Papuan Languages,F,8.6,3818400.0
SLB,Polynesian Languages,F,3.8,1687200.0
SLE,Bullom-sherbro,F,3.8,18445200.0
SLE,Ful,F,3.8,18445200.0
SLE,Kono-vai,F,5.1,24755400.0
SLE,Kuranko,F,3.4,16503600.0
SLE,Limba,F,8.3,40288200.0
SLE,Mende,F,34.8,168919200.0
SLE,Temne,F,31.8,154357200.0
SLE,Yalunka,F,3.4,16503600.0
SLV,Nahua,F,0.0,0.0
SLV,Spanish,T,100.0,627600000.0
SMR,Italian,T,100.0,2700000.0
SOM,Arabic,T,0.0,0.0
SOM,Somali,T,98.3,992535100.0
SPM,French,T,0.0,0.0
STP,Crioulo,F,86.3,12686100.0
STP,French,F,0.7,102900.0
SUR,Hindi,F,0.0,
SUR,Sranantonga,F,81.0,
SVK,Czech and Moravian,F,1.1,5938570.000000001
SVK,Hungarian,F,10.5,56686350.0
SVK,Romani,F,1.7,9177790.0
SVK,Slovak,T,85.6,462128720.0
SVK,Ukrainian and Russian,F,0.6,3239220.0
SVN,Hungarian,F,0.5,993900.0
SVN,Serbo-Croatian,F,7.9,15703620.0
SVN,Slovene,T,87.9,174727620.0
SWE,Arabic,F,0.8,7089120.0
SWE,Finnish,F,2.4,21267360.0
SWE,Norwegian,F,0.5,4430700.0
SWE,Southern Slavic Languages,F,1.3,11519820.0
SWE,Spanish,F,0.6,5316840.0
SWE,Swedish,T,89.5,793095300.0
SWZ,Swazi,T,89.9,90619200.0
SWZ,Zulu,F,2.0,2016000.0
SYC,English,T,3.8,292600.0
SYC,French,T,1.3,100100.0
SYC,Seselwa,F,91.3,7030100.0
SYR,Arabic,T,90.0,1451250000.0
SYR,Kurdish,F,9.0,145125000.0
TCA,English,T,0.0,0.0
TCD,Arabic,T,12.3,94107300.0
TCD,Gorane,F,6.2,47436200.0
TCD,Hadjarai,F,6.7,51261700.0
TCD,Kanem-bornu,F,9.0,68859000.0
TCD,Mayo-kebbi,F,11.5,87986500.0
TCD,Ouaddai,F,8.7,66563699.99999999
TCD,Sara,F,27.7,211932700.0
TCD,Tandjile,F,6.5,49731500.0
TGO,Ane,F,5.7,26385300.0
TGO,Ewe,T,23.2,107392800.0
TGO,Gurma,F,3.4,15738600.0
TGO,Kabye,T,13.8,63880200.0
TGO,Kotokoli,F,5.7,26385300.0
TGO,Moba,F,5.4,24996600.0
TGO,Naudemba,F,4.1,18978900.0
TGO,Watyi,F,10.3,47678700.0
THA,Chinese,F,12.1,742927900.0
THA,Khmer,F,1.3,79818700.0
THA,Kuy,F,1.1,67538900.0
THA,Lao,F,26.9,1651633100.0
THA,Malay,F,3.6,221036400.0
THA,Thai,T,52.6,3229587400.0
TJK,Russian,F,9.7,60023599.99999999
TJK,Tadzhik,T,62.2,384893600.0
TJK,Uzbek,F,23.2,143561600.0
TKL,English,T,0.0,0.0
TKL,Tokelau,F,0.0,0.0
TKM,Kazakh,F,2.0,8918000.0
TKM,Russian,F,6.7,29875300.0
TKM,Turkmenian,T,76.7,342005300.0
TKM,Uzbek,F,9.2,41022800.0
TMP,Portuguese,T,0.0,0.0
TMP,Sunda,F,0.0,0.0
TON,English,T,0.0,0.0
TON,Tongan,T,98.3,9731700.0
TTO,Creole English,F,2.9,3755500.0
TTO,English,F,93.5,121082500.0
TTO,Hindi,F,3.4,4403000.0
TUN,Arabic,T,69.9,
TUN,Arabic-French,F,26.3,
TUN,Arabic-French-English,F,3.2,
TUR,Arabic,F,1.4,
TUR,Kurdish,F,10.6,
TUR,Turkish,T,87.6,
TUV,English,T,0.0,
TUV,Kiribati,F,7.5,
TUV,Tuvalu,T,92.5,
TWN,Ami,F,0.6,13353600.0
TWN,Atayal,F,0.4,8902400.0
TWN,Hakka,F,11.0,244816000.0
TWN,Mandarin Chinese,T,20.1,447345600.00000006
TWN,Min,F,66.7,1484475200.0
TWN,Paiwan,F,0.3,6676800.0
TZA,Chaga and Pare,F,4.9,164233300.0
TZA,Gogo,F,3.9,130716300.0
TZA,Ha,F,3.5,117309500.0
TZA,Haya,F,5.9,197750300.0
TZA,Hehet,F,6.9,231267300.0
TZA,Luguru,F,4.9,164233300.0
TZA,Makonde,F,5.9,197750300.0
TZA,Nyakusa,F,5.4,180991800.0
TZA,Nyamwesi,F,21.1,707208700.0
TZA,Shambala,F,4.3,144123100.0
TZA,Swahili,T,8.8,294949600.0
UGA,Acholi,F,4.4,
UGA,Ganda,F,18.1,
UGA,Gisu,F,4.5,
UGA,Kiga,F,8.3,
UGA,Lango,F,5.9,
UGA,Lugbara,F,4.7,
UGA,Nkole,F,10.7,
UGA,Rwanda,F,3.2,
UGA,Soga,F,8.2,
UGA,Teso,F,6.0,
UKR,Belorussian,F,0.3,
UKR,Bulgariana,F,0.3,
UKR,Hungarian,F,0.3,
UKR,Polish,F,0.1,
UKR,Romanian,F,0.7,
UKR,Russian,F,32.9,
UKR,Ukrainian,T,64.7,
URY,Spanish,T,95.7,
USA,Chinese,F,0.6,
USA,English,T,86.2,
USA,French,F,0.7,
USA,German,F,0.7,
USA,Italian,F,0.6,
USA,Japanese,F,0.2,
USA,Korean,F,0.3,
USA,Polish,F,0.3,
USA,Portuguese,F,0.2,
USA,Spanish,F,7.5,
USA,Tagalog,F,0.4,
USA,Vietnamese,F,0.2,
UZB,Karakalpak,F,2.0,
UZB,Kazakh,F,3.8,
UZB,Russian,F,10.9,
UZB,Tadzhik,F,4.4,
UZB,Tatar,F,1.8,
UZB,Uzbek,T,72.6,
VAT,Italian,T,0.0,
VCT,Creole English,F,99.1,0.0
VCT,English,T,0.0,11297400.0
VEN,Goajiro,F,0.4,0.0
VEN,Spanish,T,96.9,9668000.0
VEN,Warrau,F,0.1,2342073000.0
VGB,English,T,0.0,2417000.0
VIR,English,T,81.7,0.0
VIR,French,F,2.5,7598100.0
VIR,Spanish,F,13.3,232500.0
VNM,Chinese,F,1.4,1236900.0
VNM,Khmer,F,1.4,111764800.0
VNM,Man,F,0.7,111764800.0
VNM,Miao,F,0.9,55882400.0
VNM,Muong,F,1.5,71848800.0
VNM,Nung,F,1.1,119748000.0
VNM,Thai,F,1.6,87815200.0
VNM,Tho,F,1.8,127731200.0
VNM,Vietnamese,T,86.8,143697600.0
VUT,Bislama,T,56.6,6929417600.0
VUT,English,T,28.3,
VUT,French,T,14.2,
WLF,Futuna,F,0.0,
WLF,Wallis,F,0.0,0.0
WSM,English,T,0.6,0.0
WSM,Samoan,T,47.5,108000.0
WSM,Samoan-English,F,52.0,8550000.0
YEM,Arabic,T,99.6,9360000.0
YEM,Soqutri,F,0.0,1803955200.0
YUG,Albaniana,F,16.5,0.0
YUG,Hungarian,F,3.4,
YUG,Macedonian,F,0.5,
YUG,Romani,F,1.4,
YUG,Serbo-Croatian,T,75.2,
YUG,Slovak,F,0.7,
ZAF,Afrikaans,T,14.3,
ZAF,English,T,8.5,577391100.0
ZAF,Ndebele,F,1.5,343204500.0
ZAF,Northsotho,F,9.1,60565500.0
ZAF,Southsotho,F,7.6,367430700.0
ZAF,Swazi,F,2.5,306865200.0
ZAF,Tsonga,F,4.3,100942500.0
ZAF,Tswana,F,8.1,173621100.0
ZAF,Venda,F,2.2,327053700.0
ZAF,Xhosa,T,17.7,88829400.0
ZAF,Zulu,T,22.7,714672900.0
ZMB,Bemba,F,29.7,916557900.0
ZMB,Chewa,F,5.7,272319300.0
ZMB,Lozi,F,6.4,52263300.0
ZMB,Nsenga,F,4.3,58681600.0
ZMB,Nyanja,F,7.8,39426700.0
ZMB,Tongan,F,11.0,71518200.0
ZWE,English,T,2.2,100859000.0
ZWE,Ndebele,F,16.2,25671800.000000004
ZWE,Nyanja,F,2.2,189037800.0
ZWE,Shona,F,72.1,25671800.000000004
,,,,841334899.9999999
