country_code,language,official,percentage,speakers
CHL,Araucan,F,9.6,146025600.0
CHL,Rapa nui,F,0.2,3042200.0
CHL,Spanish,T,89.7,1364426700.0
CHN,Chinese,T,92.0,117535336000.0
CHN,Dong,F,0.2,255511600.0
CHN,Hui,F,0.8,1022046400.0
CHN,MantSu,F,0.9,1149802200.0
CHN,Miao,F,0.7,894290600.0
CHN,Mongolian,F,0.4,511023200.0
CHN,Puyi,F,0.2,255511600.0
CHN,Tibetan,F,0.4,511023200.0
CHN,Tujia,F,0.5,638779000.0
CHN,Uighur,F,0.6,766534800.0
CHN,Yi,F,0.6,766534800.0
CHN,Zhuang,F,1.4,1788581200.0
CIV,Akan,F,30.0,443580000.0
CIV,Gur,F,11.7,172996200.0
CIV,Kru,F,10.5,155253000.0
CIV,Malinke,F,11.4,168560400.0
CIV,[South]Mande,F,7.7,113852200.0
CMR,Bamileke-bamum,F,18.6,280581000.0
CMR,Duala,F,10.9,164426500.0
CMR,Fang,F,19.7,297174500.0
CMR,Ful,F,9.6,144816000.0
CMR,Maka,F,4.9,73916500.0
CMR,Mandara,F,5.7,85984500.0
CMR,Masana,F,3.9,58831500.0
CMR,Tikar,F,7.4,111629000.0
COD,Boa,F,2.3,118804200.0
COD,Chokwe,F,1.8,92977200.0
COD,Kongo,F,16.0,826464000.0
COD,Luba,F,18.0,929772000.0
COD,Mongo,F,13.5,697329000.0
COD,Ngala and Bangi,F,5.8,299593200.0
COD,Rundi,F,3.8,196285200.0
COD,Rwanda,F,10.3,532036200.00000006
COD,Teke,F,2.7,139465800.0
COD,Zande,F,6.1,315089400.0
COG,Kongo,F,51.5,151564500.0
COG,Mbete,F,4.8,14126400.0
COG,Mboshi,F,11.4,33550200.0
COG,Punu,F,2.9,8534700.0
COG,Sango,F,2.6,7651800.0
COG,Teke,F,17.3,50913900.0
COK,English,F,0.0,0.0
COK,Maori,T,0.0,0.0
COL,Arawakan,F,0.1,4232100.0
COL,Caribbean,F,0.1,4232100.0
COL,Chibcha,F,0.4,16928400.0
COL,Creole English,F,0.1,4232100.0
COL,Spanish,T,99.0,4189779000.0
COM,Comorian,T,75.0,43350000.0
COM,Comorian-Arabic,F,1.6,924800.0
COM,Comorian-French,F,12.9,7456200.0
COM,Comorian-madagassi,F,5.5,3179000.0
